specialtyCode,specialtyName,branchCode,branchName,documentCode,documentName,categoryCode,categoryName,isRequired
131.101,견인포병,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
131.105,견인포정비,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
132.103,M/A포병,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
134.101,현무포병,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
141.101,발칸운용/정비,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
141.105,휴대용유도무기운용/정비,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
151.101,군사정보,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
152.103,땅굴탐지,1,육군,52,헌혈증서(접수마감일 기준 3년이내),,기술행정병,true
211.101,화생방,1,육군,17,국가유공자증명서,,기술행정병,true
211.102,연막,1,육군,03,자격면허증 사본,,기술행정병,true
211.102,연막,1,육군,17,국가유공자증명서,,기술행정병,true
211.102,연막,1,육군,34,독립유공자증명서,,기술행정병,true
211.104,화생방정찰,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
211.104,화생방정찰,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
171.107,교환시설운용/정비,1,육군,17,국가유공자증명서,,기술행정병,true
163.110,그레이더운용,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.111,롤러운용,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
163.111,롤러운용,1,육군,34,독립유공자증명서,,기술행정병,true
163.112,로더운전,1,육군,34,독립유공자증명서,,기술행정병,true
163.113,굴착기운용,1,육군,34,독립유공자증명서,,기술행정병,true
163.113,굴착기운용,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
163.114,발전기운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
163.114,발전기운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
171.101,전술통신장비운용/정비,1,육군,03,자격면허증 사본,,기술행정병,true
171.101,전술통신장비운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
171.102,무선전송장비운용/정비,1,육군,03,자격면허증 사본,,기술행정병,true
171.102,무선전송장비운용/정비,1,육군,17,국가유공자증명서,,기술행정병,true
171.102,무선전송장비운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
171.104,이동통신장비운용/정비,1,육군,03,자격면허증 사본,,기술행정병,true
171.104,이동통신장비운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
171.104,이동통신장비운용/정비,1,육군,17,국가유공자증명서,,기술행정병,true
171.105,정보통신망관리장비운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
171.107,교환시설운용/정비,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
172.101,MW운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
172.101,MW운용/정비,1,육군,17,국가유공자증명서,,기술행정병,true
172.101,MW운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
134.101,현무포병,1,육군,17,국가유공자증명서,,기술행정병,true
141.104,방공작전통제,1,육군,34,독립유공자증명서,,기술행정병,true
141.104,방공작전통제,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
141.105,휴대용유도무기운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
141.105,휴대용유도무기운용/정비,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
141.106,천마운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
45.01,교육훈련_3D모델링,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,교육훈련매체개발병,true
45.01,교육훈련_3D모델링,3,공군,03,자격면허증 사본,,교육훈련매체개발병,true
45.01,교육훈련_3D모델링,3,공군,07,수상(전국/도/지역대회)증명서,,교육훈련매체개발병,true
45.01,교육훈련_3D모델링,3,공군,08,고교생활기록부 사본,,교육훈련매체개발병,true
45.01,교육훈련_3D모델링,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,교육훈련매체개발병,true
45.01,교육훈련_3D모델링,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,교육훈련매체개발병,true
45.01,교육훈련_3D모델링,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,교육훈련매체개발병,true
151.103,정찰,1,육군,07,수상(전국/도/지역대회)증명서,,기술행정병,true
45.02,교육훈련_프로그램개발,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,교육훈련매체개발병,true
45.02,교육훈련_프로그램개발,3,공군,03,자격면허증 사본,,교육훈련매체개발병,true
45.02,교육훈련_프로그램개발,3,공군,07,수상(전국/도/지역대회)증명서,,교육훈련매체개발병,true
45.02,교육훈련_프로그램개발,3,공군,08,고교생활기록부 사본,,교육훈련매체개발병,true
45.02,교육훈련_프로그램개발,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,교육훈련매체개발병,true
45.02,교육훈련_프로그램개발,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,교육훈련매체개발병,true
45.02,교육훈련_프로그램개발,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,교육훈련매체개발병,true
171.101,전술통신장비운용/정비,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
171.105,정보통신망관리장비운용/정비,1,육군,17,국가유공자증명서,,기술행정병,true
171.105,정보통신망관리장비운용/정비,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
45.03,교육훈련_디자인,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,교육훈련매체개발병,true
45.03,교육훈련_디자인,3,공군,03,자격면허증 사본,,교육훈련매체개발병,true
45.03,교육훈련_디자인,3,공군,07,수상(전국/도/지역대회)증명서,,교육훈련매체개발병,true
45.03,교육훈련_디자인,3,공군,08,고교생활기록부 사본,,교육훈련매체개발병,true
171.107,교환시설운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
171.107,교환시설운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
171.107,교환시설운용/정비,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
45.03,교육훈련_디자인,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,교육훈련매체개발병,true
45.03,교육훈련_디자인,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,교육훈련매체개발병,true
45.03,교육훈련_디자인,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,교육훈련매체개발병,true
162.103,배관/기계설비,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.101,장갑전투도저운전,1,육군,34,독립유공자증명서,,기술행정병,true
163.102,다목적굴착기운전,1,육군,34,독립유공자증명서,,기술행정병,true
163.102,다목적굴착기운전,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.103,교량전차조종,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
163.104,도하장비조종,1,육군,03,자격면허증 사본,,기술행정병,true
163.104,도하장비조종,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.105,정수장비운용,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
163.105,정수장비운용,1,육군,17,국가유공자증명서,,기술행정병,true
45.04,교육훈련_영상/사진,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,교육훈련매체개발병,true
163.107,공기압축기운용,1,육군,34,독립유공자증명서,,기술행정병,true
163.107,공기압축기운용,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.108,크레인운용,1,육군,03,자격면허증 사본,,기술행정병,true
163.108,크레인운용,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.109,도저운용,1,육군,17,국가유공자증명서,,기술행정병,true
163.110,그레이더운용,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
163.111,롤러운용,1,육군,03,자격면허증 사본,,기술행정병,true
163.111,롤러운용,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.111,롤러운용,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
163.112,로더운전,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
163.113,굴착기운용,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
163.115,공병장비부대정비,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
171.101,전술통신장비운용/정비,1,육군,17,국가유공자증명서,,기술행정병,true
171.101,전술통신장비운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
171.102,무선전송장비운용/정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
171.102,무선전송장비운용/정비,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
171.104,이동통신장비운용/정비,1,육군,34,독립유공자증명서,,기술행정병,true
171.104,이동통신장비운용/정비,1,육군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,기술행정병,true
171.105,정보통신망관리장비운용/정비,1,육군,03,자격면허증 사본,,기술행정병,true
171.107,교환시설운용/정비,1,육군,03,자격면허증 사본,,기술행정병,true
45.04,교육훈련_영상/사진,3,공군,03,자격면허증 사본,,교육훈련매체개발병,true
45.04,교육훈련_영상/사진,3,공군,07,수상(전국/도/지역대회)증명서,,교육훈련매체개발병,true
45.04,교육훈련_영상/사진,3,공군,08,고교생활기록부 사본,,교육훈련매체개발병,true
45.04,교육훈련_영상/사진,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,교육훈련매체개발병,true
45.04,교육훈련_영상/사진,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,교육훈련매체개발병,true
45.04,교육훈련_영상/사진,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,교육훈련매체개발병,true
50,운항관리병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,운항관리병,true
E00001,국군체육특기병,1,육군,56,선수등록 확인서,,전문특기병,true
E00001,국군체육특기병,1,육군,57,경기실적 증명서,,전문특기병,true
E00001,국군체육특기병,1,육군,08,고교생활기록부 사본,,전문특기병,true
E00001,국군체육특기병,1,육군,58,대표경력 증명서,,전문특기병,false
